Property_ID,Area,Bedrooms,Bathrooms,Age,Location,Property_Type,Price
PROP0074,3954,1,3,38,Suburb,Villa,30555000
PROP0075,1350,1,1,42,Rural,Villa,6150000
PROP0076,2314,3,3,26,Rural,Villa,14770000
PROP0077,1748,4,1,43,City Center,Villa,22180000
PROP0078,2567,1,2,44,Suburb,Villa,18952500
PROP0079,1881,2,1,7,City Center,Apartment,23110000
PROP0080,4418,2,1,24,Rural,House,23390000
PROP0081,3635,1,3,35,Rural,Villa,18925000
PROP0082,2916,3,2,31,Suburb,House,25545000
PROP0083,1780,1,3,32,Suburb,Apartment,14700000
PROP0084,2661,3,2,17,Suburb,House,24682500
PROP0085,2836,5,3,16,Rural,Villa,19880000
PROP0086,4829,1,1,48,Suburb,Apartment,34867500
PROP0087,2517,3,2,33,City Center,Apartment,29870000
PROP0088,2900,3,2,48,Rural,House,16100000
PROP0089,1678,4,3,24,Suburb,House,19035000
PROP0090,4690,4,3,1,Suburb,House,43350000
PROP0091,3279,2,2,29,Rural,Apartment,17945000
PROP0092,520,4,1,29,Rural,Apartment,5650000
PROP0093,3351,3,2,47,Rural,Apartment,18405000
PROP0094,1273,2,2,3,Rural,Villa,9215000
PROP0095,4642,4,2,26,City Center,Villa,53820000
PROP0096,3083,4,2,5,Rural,Apartment,20165000
PROP0097,3347,5,1,22,Suburb,House,31702500
PROP0098,4822,5,3,15,Suburb,Apartment,44790000
PROP0099,3356,5,2,17,Suburb,Apartment,32895000
PROP0100,4436,2,1,0,Suburb,House,37020000
PROP0101,3592,2,3,30,Suburb,House,29940000
PROP0102,1058,3,3,20,Suburb,Villa,13185000
PROP0103,1102,5,2,36,City Center,Apartment,19420000
PROP0104,2070,1,1,12,Rural,Apartment,11250000
PROP0105,2957,4,1,22,City Center,House,36370000
PROP0106,3008,4,3,42,City Center,Villa,36880000
PROP0107,1325,3,3,7,City Center,House,21550000
PROP0108,4074,1,3,32,City Center,Apartment,42540000
PROP0109,4621,4,2,45,City Center,Apartment,51710000
PROP0110,3167,5,2,25,City Center,House,41170000
PROP0111,1990,1,3,42,City Center,House,20700000
PROP0112,4756,2,3,34,Suburb,House,38370000
PROP0113,1726,4,2,21,City Center,Villa,25160000
PROP0114,4814,5,2,8,Rural,Apartment,29670000
PROP0115,2919,2,3,20,Suburb,Apartment,25642500
PROP0116,3539,3,1,45,City Center,House,37890000
PROP0117,3193,1,2,22,Rural,Villa,16865000
PROP0118,1519,1,2,11,Suburb,Villa,13567500
PROP0119,4360,4,1,12,Suburb,Villa,38550000
PROP0120,1496,3,1,31,Suburb,House,14145000
PROP0121,4632,1,2,7,Suburb,Apartment,37215000
PROP0122,1669,3,3,26,Suburb,Villa,17317500
PROP0123,2836,4,1,26,City Center,Villa,34760000
PROP0124,4399,1,2,8,Suburb,Apartment,35392500
PROP0125,1578,5,3,34,Suburb,House,19035000
PROP0126,3088,1,1,31,City Center,House,30780000
PROP0127,1777,5,3,21,Suburb,Villa,21502500
PROP0128,1055,1,2,35,Suburb,House,8287500
PROP0129,3947,4,3,3,Suburb,Apartment,37627500
PROP0130,3794,4,2,26,City Center,Apartment,45340000
PROP0131,1053,2,2,31,Rural,House,6715000
PROP0132,2226,4,2,23,Suburb,House,22470000
PROP0133,3823,4,3,36,City Center,Villa,45630000
PROP0134,952,1,3,38,City Center,House,10720000
PROP0135,3275,1,2,47,Suburb,Villa,24037500
PROP0136,1075,1,2,1,Rural,Villa,7325000
PROP0137,1317,2,3,36,City Center,House,16570000
PROP0138,4029,4,2,42,Suburb,House,34567500
PROP0139,3404,5,1,20,City Center,Villa,43040000
PROP0140,3204,1,1,49,City Center,Apartment,30140000
PROP0141,1884,4,3,22,City Center,House,27640000
PROP0142,964,5,1,31,Rural,Apartment,8770000
PROP0143,4433,1,3,27,Rural,House,23315000
PROP0144,2042,4,3,32,Rural,Apartment,14110000
PROP0145,746,5,3,6,Rural,House,9930000
PROP0146,2537,4,3,44,Suburb,Villa,23977500
PROP0147,3788,5,2,34,City Center,Villa,46480000
PROP0148,1650,4,3,30,Suburb,Villa,18375000
PROP0149,1584,5,1,4,Rural,House,13220000
PROP0150,3469,4,2,27,City Center,Apartment,41990000
PROP0151,3444,1,3,42,Suburb,House,26430000
PROP0152,1025,4,2,4,Rural,Villa,9925000
PROP0153,4378,5,3,28,City Center,Villa,53980000
PROP0154,2937,5,2,9,Rural,Apartment,20235000
PROP0155,742,5,2,46,City Center,Apartment,14820000
PROP0156,2683,5,2,18,City Center,House,37030000
PROP0157,1743,1,2,44,City Center,House,17030000
PROP0158,4641,1,1,16,Suburb,Apartment,35857500
PROP0159,3619,5,1,18,Suburb,Apartment,34042500
PROP0160,2394,2,2,40,City Center,House,25940000
PROP0161,1223,3,3,17,City Center,House,19530000
PROP0162,2078,3,3,47,Rural,Villa,12540000
PROP0163,3559,4,3,24,Suburb,Apartment,33142500
PROP0164,4680,4,2,49,City Center,House,51900000
PROP0165,3786,1,2,27,Rural,Apartment,19580000
PROP0166,1172,4,1,16,Rural,Villa,9560000
PROP0167,2514,3,3,21,Suburb,House,24030000
PROP0168,4875,1,3,49,Rural,House,24425000
PROP0169,4722,1,1,29,City Center,Villa,47320000
PROP0170,3864,5,2,29,City Center,Apartment,47740000
PROP0171,4574,2,1,32,Suburb,Apartment,35655000
PROP0172,1101,1,3,49,City Center,House,11110000
PROP0173,4510,2,2,47,Suburb,Villa,34800000
PROP0174,814,4,1,48,Suburb,Apartment,9255000
PROP0175,3781,3,3,8,Rural,Apartment,23005000
PROP0176,3663,2,1,14,Suburb,House,30172500
PROP0177,4097,3,3,15,Rural,House,24235000
PROP0178,2528,2,1,10,Rural,Apartment,14640000
PROP0179,1680,5,3,16,Suburb,Apartment,21150000
PROP0180,3451,2,2,39,City Center,Apartment,36610000
PROP0181,2493,2,2,48,Suburb,Villa,19597500
PROP0182,1699,4,1,43,Suburb,Apartment,16267500
PROP0183,4842,1,1,3,City Center,Apartment,51120000
PROP0184,4127,4,1,8,Suburb,Villa,37102500
PROP0185,1952,2,2,6,Suburb,House,18690000
PROP0186,3539,5,1,37,Suburb,House,32017500
PROP0187,715,1,1,32,Suburb,Villa,5212500
PROP0188,1804,1,1,45,Suburb,Villa,12405000
PROP0189,3574,2,3,22,Suburb,Apartment,30405000
PROP0190,1832,4,3,35,City Center,Villa,25820000
PROP0191,1569,5,1,21,City Center,Villa,24590000
PROP0192,1104,1,3,46,Rural,Apartment,5720000
PROP0193,1181,5,1,13,Rural,Villa,10755000
PROP0194,4871,4,1,4,City Center,Villa,57310000
PROP0195,2214,1,3,29,Rural,Apartment,12120000
PROP0196,2081,5,3,34,Suburb,Villa,22807500
PROP0197,1795,1,2,31,City Center,Villa,18850000
PROP0198,909,3,1,6,Suburb,House,11617500
PROP0199,4285,2,3,34,City Center,House,46450000
PROP0200,3091,2,2,45,Rural,House,16205000
PROP0201,2378,4,1,11,Rural,Villa,15840000
PROP0202,4191,3,1,5,City Center,Villa,48410000
PROP0203,746,4,1,5,Suburb,Villa,11970000
PROP0204,623,1,1,3,City Center,House,8930000
PROP0205,2780,1,1,32,City Center,Apartment,27600000
PROP0206,4316,4,2,3,City Center,Apartment,52860000
PROP0207,2924,5,1,31,Suburb,Apartment,27855000
PROP0208,1888,4,1,6,City Center,House,27280000
PROP0209,623,1,2,47,City Center,House,5530000
PROP0210,747,2,3,37,Rural,House,5385000
PROP0211,1206,2,3,29,City Center,House,16160000
PROP0212,4591,1,1,47,City Center,Villa,44210000
PROP0213,4488,5,2,10,City Center,House,55880000
PROP0214,2445,3,3,24,Rural,House,15525000
PROP0215,1963,3,2,34,Rural,Apartment,12115000
PROP0216,2507,4,3,11,City Center,House,34970000
PROP0217,1451,5,3,31,City Center,Villa,24410000
PROP0218,4812,5,2,8,Suburb,Apartment,44490000
PROP0219,3713,4,3,46,Rural,Villa,21765000
PROP0220,1113,1,2,41,Suburb,House,8272500
PROP0221,3611,3,3,27,Suburb,Apartment,31807500
PROP0222,3343,2,2,47,City Center,Villa,34730000
PROP0223,2479,3,3,32,Suburb,Apartment,22942500
PROP0224,2221,3,3,10,Suburb,Apartment,22657500
PROP0225,779,2,2,21,City Center,Villa,11690000
PROP0226,899,1,2,36,City Center,House,9390000
PROP0227,2255,5,2,27,City Center,Villa,31850000
PROP0228,2771,3,1,4,Rural,House,17155000
PROP0229,4610,5,3,4,City Center,House,58700000
PROP0230,3396,1,3,20,City Center,Apartment,36960000
PROP0231,2643,4,3,21,City Center,Apartment,35330000
PROP0232,1479,1,1,9,City Center,Apartment,16890000
PROP0233,3511,5,2,45,City Center,Villa,42610000
PROP0234,2862,1,2,38,Suburb,Apartment,21615000
PROP0235,839,2,2,7,City Center,Villa,13690000
PROP0236,4256,1,1,2,Suburb,Villa,34020000
PROP0237,4290,4,3,27,Rural,Apartment,25600000
PROP0238,3196,4,3,2,Suburb,Villa,32070000
PROP0239,3075,4,2,35,City Center,Apartment,37250000
PROP0240,912,3,1,49,City Center,House,11220000
PROP0241,4659,5,2,37,Rural,Apartment,27445000
PROP0242,1244,1,3,2,Rural,Villa,8620000
PROP0243,3479,1,1,19,Rural,Villa,17945000
PROP0244,1081,4,2,8,Rural,Apartment,10005000
PROP0245,4079,1,2,36,Rural,Villa,20595000
PROP0246,1454,3,1,27,City Center,Villa,18840000
PROP0247,589,2,1,35,Rural,Villa,3695000
PROP0248,1370,4,2,8,City Center,Apartment,22900000
PROP0249,3711,3,3,42,Suburb,House,31432500
PROP0250,3558,1,3,23,Rural,House,19140000
PROP0251,2065,2,2,44,City Center,House,22250000
PROP0252,1962,2,3,22,Rural,Villa,12210000
PROP0253,749,5,1,33,Suburb,House,11392500
PROP0254,2651,3,1,15,Rural,Apartment,16005000
PROP0255,1203,4,3,49,Suburb,House,13597500
PROP0256,2576,4,2,2,City Center,Villa,35560000
PROP0257,3706,5,1,4,City Center,House,47660000
PROP0258,2306,3,1,25,Suburb,Villa,20670000
PROP0259,4840,2,2,8,Suburb,Villa,40200000
PROP0260,2324,2,3,34,Suburb,Villa,20130000
PROP0261,1879,5,1,28,Suburb,House,20242500
PROP0262,795,5,1,28,City Center,Villa,16150000
PROP0263,3594,5,3,14,Suburb,Villa,35655000
PROP0264,4560,5,3,17,Suburb,Villa,42675000
PROP0265,1800,3,2,18,Rural,Villa,12100000
PROP0266,3240,4,3,39,Suburb,Apartment,29625000
PROP0267,3457,1,2,24,Rural,Villa,18085000
PROP0268,833,5,2,39,Suburb,Villa,12322500
PROP0269,3936,5,2,13,Rural,House,25030000
PROP0270,4496,4,3,34,City Center,House,52560000
PROP0271,1678,4,2,5,Suburb,Apartment,19710000
PROP0272,613,4,3,20,Rural,House,7565000
PROP0273,2371,5,2,2,Rural,House,17755000
PROP0274,1261,3,2,18,Rural,House,9405000
PROP0275,3367,3,1,48,Rural,House,17935000
PROP0276,1181,5,3,45,Rural,Villa,10155000
PROP0277,1295,5,2,32,Rural,House,10875000
PROP0278,3117,1,2,19,Rural,Villa,16635000
PROP0279,1801,3,1,14,Suburb,House,17707500
PROP0280,2795,1,1,39,Rural,Apartment,13525000
PROP0281,3594,2,2,25,Rural,Apartment,19720000
PROP0282,3715,2,2,20,Rural,House,20575000
PROP0283,4523,2,2,42,Suburb,House,35272500
PROP0284,4746,5,1,22,City Center,Apartment,56260000
PROP0285,3328,4,1,18,City Center,Apartment,40480000
PROP0286,2503,3,2,42,City Center,House,28830000
PROP0287,4733,5,1,39,City Center,Apartment,54430000
PROP0288,3200,2,2,32,Suburb,House,26100000
PROP0289,3390,2,3,40,City Center,Apartment,36900000
PROP0290,1637,4,3,40,Rural,Apartment,11685000
PROP0291,2307,4,2,36,Rural,Villa,14735000
PROP0292,1462,4,3,26,Rural,House,11510000
PROP0293,879,1,3,11,City Center,Apartment,12690000
PROP0294,4917,2,1,2,City Center,House,53970000
PROP0295,2157,2,3,42,Rural,House,12185000
PROP0296,1450,4,1,0,Suburb,Villa,17625000
PROP0297,3866,1,2,16,City Center,Apartment,41060000
PROP0298,1970,3,1,6,Rural,Apartment,13050000
PROP0299,4243,3,2,7,Rural,Villa,24865000
PROP0300,2013,1,2,19,Suburb,Apartment,16672500
